ccy,tenor_y,n_obs_raw,n_bdays,interp_share,max_gap_days_raw
BRL,1.0,1642,1827,0.10125889436234264,48
BRL,5.0,671,796,0.157035175879397,793
BRL,10.0,1660,1824,0.08991228070175439,50
NGN,1.0,164,338,0.514792899408284,1065
NGN,5.0,55,304,0.819078947368421,1153
NGN,10.0,44,416,0.8942307692307693,1442
PKR,1.0,53,553,0.9041591320072333,144
PKR,5.0,161,927,0.8263214670981661,308
PKR,10.0,135,586,0.7696245733788396,460
TRY,1.0,996,1565,0.3635782747603834,328
TRY,5.0,924,1404,0.3418803418803419,208
TRY,10.0,970,1562,0.37900128040973113,208
ZAR,5.0,577,693,0.1673881673881674,957
ZAR,10.0,1740,1817,0.04237754540451293,5
